doi,capture.READER_COUNT,citation.Scopus,citation.CrossRef,citation.Academic Citation Index (ACI) - airiti,citation.PubMed,citation.Policy Citation,citation.Patent Families,mention.NEWS_COUNT,mention.FACEBOOK_COUNT,mention.REFERENCE_COUNT,citation.SSRN,mention.ABSTRACT_VIEWS,mention.DOWNLOAD_COUNT,mention.ALL_BLOG_COUNT,citation.PubMed Guidelines,mention.FULL_TEXT_VIEWS,citation.SciELO,capture.EXPORTS_SAVES,citation.CSCD
10.1007/s10545-006-0395-8,63.0,74.0,62.0,,42.0,2.0,1.0,,,,,,,,1.0,,,,
10.1080/00029890.2006.11920369,,,,,,,,,,,,,,,,,,,
10.1115/imece2006-14462,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,
10.1177/0739986306290367,30.0,18.0,14.0,1.0,,1.0,,,,,,,,,,,,,
10.7589/0090-3558-42.3.511,23.0,11.0,10.0,,3.0,,,,,,,,,,,,,,
10.58680/ccc20065065,,,,,,,,,,,,,,,,,,,
10.1021/jm060592h,41.0,112.0,99.0,,8.0,,,,,,,,,,,,,,
10.1016/j.jsgi.2005.12.007,15.0,24.0,24.0,,15.0,,,,,,,,,,,,,,
10.1525/sop.2006.49.1.67,78.0,91.0,86.0,,,4.0,,,,,,,,,,,,,
10.1021/ol052806f,11.0,80.0,71.0,,1.0,,,,,,,,,,,,,,
10.2135/cropsci2005.07-0184,16.0,16.0,15.0,,,,,,,,,,,,,,,,
10.1094/pd-90-1359b,3.0,,7.0,,,,,,,,,,,,,,,,
10.2466/pr0.98.1.237-252,12.0,2.0,3.0,,1.0,2.0,,,,,,,,,,,,,
10.1017/s1466046606060042,12.0,15.0,15.0,,,1.0,,,,,,,,,,,,,
10.1177/0306624x05277941,90.0,58.0,36.0,,3.0,1.0,,,,,,,,,,,,,
10.1021/bi052129x,18.0,18.0,15.0,,5.0,,,,,,,,,,,,,,
10.1021/ja061498t,35.0,59.0,55.0,,20.0,,,,,,,16.0,178.0,,,,,,
10.2753/jec1086-4415100303,38.0,9.0,4.0,,,,,,,,,,,,,,,,
10.1007/s10897-006-9032-9,21.0,3.0,4.0,,4.0,,,,,,,,,,,,,,
10.2190/67rn-uawg-4nff-5hl5,15.0,18.0,9.0,,,,,,,,,,,,,,,,
10.2514/1.18034,359.0,860.0,307.0,,,2.0,,,,2.0,,,,,,,,,
10.1177/019027250606900305,49.0,47.0,42.0,1.0,,,,,,,,,,,,,,,
10.1080/10573560500455760,9.0,,,,,,,,,,,,,,,,,,
10.1111/j.1939-1668.2006.tb00532.x,2.0,,,,,,,,,,,,,,,,,,
10.7589/0090-3558-42.2.415,150.0,19.0,12.0,,6.0,3.0,,,,,,,,,,,,,
10.1111/j.1540-6520.2006.00149.x,223.0,180.0,137.0,,,2.0,,,,,,,,,,,,,
10.1080/10576100600701974a,43.0,28.0,8.0,,,3.0,,,,,,,,,,,,,
10.1142/s0218301306004946,1.0,3.0,3.0,,,,,,,,,,,,,,,,
10.5465/amj.2006.21794666,327.0,191.0,194.0,2.0,,1.0,,,,,,,,,,,,,
10.1029/2006gl027286,18.0,3.0,8.0,,,,,,,,,,,,,,,,
10.1021/om0606385,9.0,30.0,29.0,,,,,,,,,,,,,,,,
10.1029/2005jf000318,59.0,81.0,39.0,,,3.0,,,,,,,,,,,,,
10.1080/00949650412331320945,1.0,,,,,,,,,,,,,,,,,,
10.1021/ie050775m,2.0,13.0,11.0,,,,,,,,,,,,,,,,
10.1021/bi0607812,32.0,50.0,49.0,,29.0,,,,,,,,,,,,,,
10.1080/15287390500360018,15.0,4.0,3.0,,,,,,,,,,,,,,,,
10.5465/amr.2006.22528168,430.0,157.0,119.0,2.0,,1.0,,,,,,,,,,,,,
10.1123/jsm.20.2.248,16.0,5.0,5.0,,,,,,,,,,,,,,,,
10.1126/science.1128326,807.0,661.0,658.0,,176.0,2.0,,,,1.0,,,,,,,,,
10.1075/dia.23.2.05jug,9.0,14.0,6.0,,,,,,3.0,,,,,,,,,,
10.1542/peds.2006-0970,152.0,156.0,139.0,,51.0,2.0,,2.0,,2.0,,,,2.0,4.0,,,,
10.1177/1098611105276545,14.0,6.0,7.0,,,,,,,,,,,,,,,,
10.7227/jace.12.1.6,5.0,,,,,,,,,,,,,,,,,,
10.1177/1057567706295416,10.0,,,,,,,,,,,,,,,,,,
10.1021/ja063485l,110.0,137.0,115.0,,38.0,,,,,,,,,,,,,,
10.1525/tph.2006.28.1.168,,,,,,,,,,,,,,,,,,,
10.1177/1527154406286405,15.0,7.0,7.0,,,,,,,,,,,,,,,,
10.1177/0145482x0610001006,5.0,,,,,,,,,,,,,,,,,,
10.1177/0273475306288397,231.0,54.0,49.0,,,,,,,,,,,,,,,,
10.3138/cjh.41.2.430,,,,,,,,,,,,,,,,,,,
10.1177/0095327x06287887,19.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1177/19367244062300103,16.0,1.0,7.0,,,,,,,,,,,,,,,,
10.3138/jcfs.37.1.113,21.0,17.0,12.0,,,,,,,,,,,,,,,,
10.1177/0309133306071963,1.0,,,,,,,,,,,,,,,,,,
10.1177/030913330603000111,3.0,,,,,,,,,,,,,,,,,,
10.1021/ja069785k,2.0,,,,,,,,,,,,,,,,,,
10.1145/1180405.1180423,53.0,83.0,59.0,,,2.0,,,,,,,,,,,,,
10.1089/bsp.2006.4.301,14.0,7.0,2.0,,1.0,,,,,,,,,,,,,,
10.22237/jmasm/1146456540,6.0,6.0,2.0,,,,,,,,,35.0,3882.0,,,,,,
10.1089/jwh.2006.15.941,49.0,60.0,35.0,,31.0,2.0,,,,,,153.0,712.0,,,,,,
10.3233/nre-2006-21301,29.0,15.0,,,,1.0,,,,,,,,,,,,,
10.1189/jlb.1205755,60.0,98.0,78.0,,66.0,,,,,,,,,,,,,,
10.1145/1165734.1165739,41.0,67.0,50.0,,,,,,,,,,,,,,,,
10.1177/0266242606067270,271.0,79.0,51.0,,,1.0,,,,,,,,,,,,,
10.1080/10841806.2006.11029540,27.0,,,,,,,,,1.0,,,,,,,,,
10.1115/imece2006-13951,29.0,84.0,29.0,,,,,,,,,,,,,,,,
10.21818/001c.16671,18.0,,5.0,,,,,,,,,,,,,,,,
10.1177/027614670602600103,,,1.0,,,,,,,,,,,,,,,,
10.2308/jis.2006.20.2.65,18.0,,3.0,,,,,,,,,,,,,,,,
10.1177/1090198105277851,55.0,25.0,20.0,,10.0,2.0,,,,,,,,,,,,,
10.1115/imece2006-15275,5.0,1.0,,,,,,,,,,,,,,,,,
10.1177/1096348006286795,27.0,16.0,9.0,,,,,,,,,,,,,,,,
10.2514/1.17064,8.0,5.0,3.0,,,,,,,,,,,,,,,,
10.1177/0273475306288659,33.0,6.0,5.0,,,,,,,,,,,,,,,,
10.1063/1.2167795,20.0,36.0,33.0,,,,,,,,,,,,,,,,
10.1177/1097184x05277689,44.0,30.0,16.0,,,,,,,,,,,,,,,,
10.1177/10483713060190030105,11.0,,1.0,,,,,,,,,,,,,,,,
10.1029/2005wr004585,7.0,3.0,2.0,,,,,,,,,,,,,,,,
10.1158/0008-5472.can-05-4271,80.0,83.0,70.0,,54.0,,,,,,,,,,,,,,
10.1177/107179190601200405,159.0,,24.0,,,,,,,,,,,,,,,,
10.1210/jc.2006-1142,109.0,78.0,74.0,,33.0,,,,,,,,,,,,,,
10.3233/nre-2006-21305,64.0,16.0,,,,,,,,,,,,,,,,,
10.1080/13668250600999160,95.0,21.0,9.0,,6.0,1.0,,,,,,,,,,,,,
10.1021/bi0609725,9.0,23.0,22.0,,11.0,,,,,,,,,,,,,,
10.1177/0093854806287318,58.0,91.0,86.0,,,,,,,,,,,1.0,,,,,
10.1306/1063804ca51306,14.0,,,,,,,,,,,,,,,,,,
10.1080/15287390500496986,6.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1177/1557085105283953,67.0,102.0,88.0,,,1.0,,,,,,,,,,,,,
10.1177/0145482x0610001007,4.0,,,,,,,,,,,,,,,,,,
10.1080/15287390600746231,9.0,3.0,3.0,,,,,,,,,,,,,,,,
10.1190/1.2329864,17.0,25.0,16.0,,,,1.0,,53.0,,,,,,,,,,
10.1177/154193120605001814,19.0,,,,,,,,,,,,,,,,,,
10.1021/jp063085k,78.0,100.0,89.0,,5.0,,,,,,,,,,,,,,
10.1080/15287390600746207,2.0,2.0,2.0,,,,,,,,,,,,,,,,
10.4018/978-1-59904-405-7.ch001,,,,,,,,,,,,,,,,,,,
10.4018/978-1-59140-673-0.ch022,,,,,,,,,,,,,,,,,,,
10.1177/0734016806288258,43.0,47.0,32.0,,,,,,,,,115.0,485.0,,,,,,
10.1021/la061632n,152.0,202.0,196.0,,9.0,,,,,,,,,,,,,,
10.1177/108155890605402s34,,,,,,,,,,,,,,,,,,,
10.1177/1078087406287165,34.0,34.0,29.0,,,1.0,,,,,,,,,,,,,
10.1177/1534484306287258,33.0,15.0,7.0,,,,,,,,,,,,,,,,
10.1111/j.1937-5956.2006.tb00243.x,54.0,86.0,72.0,,,,,,,,,,,,,,,,
10.4018/978-1-59140-509-2.ch010,16.0,2.0,,,,,,,,,,,,,,,,,
10.1080/10686967.2006.11918548,,,,,,,,,,,,,,,,,,,
10.1200/jco.2005.03.3969,101.0,320.0,272.0,,101.0,5.0,,,,,,,,,1.0,,,,
10.1089/dna.2006.25.627,17.0,5.0,3.0,,4.0,,,,,,,,,,,,,,
10.1590/s1678-77572006000100006,5.0,8.0,2.0,,2.0,,,,,,,652.0,,,,5699.0,2.0,,
10.1177/1094428106290195,92.0,42.0,30.0,,,,,,,,,111.0,,,,,,,
10.1177/0361198106198400103,,,,,,1.0,,,,,,,,,,,,,
10.1158/1535-7163.mct-06-0096,132.0,195.0,140.0,,50.0,,1.0,,,,,,,,,,,,
10.1177/0010414005284047,55.0,14.0,12.0,2.0,,,,,,,,,,,,,,,
10.1177/0273475306291465,36.0,11.0,14.0,,,,,,,,,,,,,,,,
10.1080/10835547.2006.12091173,17.0,,4.0,,,,,,,,,,,,,,,,
10.1063/1.2409932,56.0,152.0,147.0,,11.0,,,,,,,,,,,,,,
10.1029/2005jb003766,67.0,67.0,59.0,,,,,,,2.0,,,,,,,,,
10.1123/ssj.23.3.248,44.0,36.0,30.0,,,1.0,,,,,,,,,,,,,
10.1021/jp056406l,13.0,35.0,29.0,,3.0,,,,,,,,,,,,,,
10.1300/j173v06n02_07,,1.0,,,,,,,,,,,,,,,,,
10.1177/1066480705283089,25.0,8.0,12.0,,,,,,,,,,,,,,,,
10.1145/1166324.1166336,27.0,33.0,12.0,,,,,,,,,,,,,,,,
10.1016/j.juro.2006.07.011,94.0,66.0,52.0,,20.0,,2.0,,,,,,,,,,,,
10.2466/pr0.98.3.861-864,17.0,13.0,8.0,,,,,,,,,,,,,,,,
10.1145/1166324.1166341,22.0,23.0,6.0,,,,,,,,,,,,,,,,
10.1063/1.2362905,55.0,162.0,126.0,,,,,,,,,,,,,,,,
10.2466/pr0.99.2.363-378,31.0,28.0,17.0,,8.0,,,,,,,,,,,,,,
10.1111/j.1467-8276.2006.00867.x,16.0,13.0,9.0,,,,,,,,1.0,910.0,2.0,,,,,,
10.2514/1.15411,12.0,11.0,7.0,,,,,,,,,,,,,,,,
10.1145/1128888.1128892,17.0,24.0,19.0,,,,,,,,,,,,,,,,
10.1145/1166324.1166359,8.0,12.0,7.0,,,,,,,,,,,,,,,,
10.1021/ja055761m,85.0,130.0,119.0,,9.0,,,,,,,,,,,,,,
10.1145/1146598.1146624,48.0,14.0,13.0,,,,,,,,,,,,,,,,
10.1021/ic0611995,64.0,92.0,81.0,,1.0,,1.0,,,,,1.0,,,,,,,
10.1063/1.2360532,4.0,8.0,8.0,,,,,,,,,,,,,,,,
10.1021/ic060568u,72.0,250.0,211.0,,6.0,,,,,,,,,,,,,,
10.5465/amj.2006.23478165,402.0,358.0,321.0,9.0,,1.0,,,,,,,,,,,,,
10.1177/1066480706291121,3.0,1.0,1.0,,,,,,,,,,,,,,,,
10.4018/jthi.2006100105,33.0,11.0,5.0,,,,,,,,,,,,,,,,
10.1155/2006/710190,67.0,32.0,13.0,,5.0,,,,,,,66.0,19.0,,,,,,
10.1158/1078-0432.ccr-05-1648,10.0,21.0,18.0,,8.0,,,,,,,,,,,,,,
10.1021/om060409i,38.0,44.0,41.0,,,,,,,,,6.0,,,,,,,
10.1044/1092-4388(2006/021),491.0,288.0,224.0,6.0,39.0,15.0,,1.0,108.0,2.0,,,,,,,,,
10.1190/1.2235834,15.0,4.0,2.0,,,,,,39.0,,,34.0,,,,,,,
10.1021/ac060638e,94.0,38.0,31.0,,4.0,,,,,,,,,,,,,,
10.1021/om050967h,16.0,27.0,26.0,,,,,,,,,2.0,,,,,,,
10.1080/15502280500388060,2.0,4.0,3.0,,,,,,,,,,,,,,,,
10.1177/1523422305283056,28.0,20.0,14.0,,,,,,,,,,,,,,,,
10.1177/0361198106197800118,,,3.0,,,,,,,,,,,,,,,,
10.1128/jb.00506-06,52.0,88.0,68.0,,51.0,,,1.0,3.0,,,,,,,,,,
10.1029/2006jg000214,19.0,1.0,,,,,,,,,,,,,,,,,
10.1063/1.2336197,47.0,109.0,106.0,,9.0,,,,4191.0,,,,,,,,,,
10.1029/2006gl028005,185.0,167.0,135.0,,,5.0,,4.0,,2.0,,,,1.0,,,,,
10.1063/1.2172910,5.0,4.0,3.0,,,,,,,,,,,,,,,,
10.1128/aem.00075-06,77.0,85.0,64.0,,37.0,,,,,,,,,,,,,,
10.2308/jata.2006.28.2.23,6.0,,27.0,1.0,,,,,,,,,,,,,,,
10.1158/1078-0432.ccr-05-2110,56.0,85.0,73.0,,42.0,,,,,,,,,,,,,,
10.1115/imece2006-13494,11.0,10.0,6.0,,,,,,5.0,,,,,,,,,,
10.1289/ehp.8221,199.0,406.0,368.0,,104.0,11.0,,,1.0,,,,,,1.0,,,,
10.1145/1119439.1119441,11.0,19.0,12.0,,,,,,,,,,,,,,,,
10.1029/2006gl026303,50.0,37.0,26.0,,,,,,,,,,,,,,,,
10.1016/j.soscij.2006.02.001,8.0,1.0,,,,,,,,,,,,,,,,,
10.1177/10534512060420020801,45.0,25.0,18.0,6.0,,,,,,,,,,1.0,,,,,
10.1063/1.2182019,32.0,59.0,51.0,,,,,,,,,,,,,,,,
10.1080/02732170500463429,48.0,37.0,26.0,,,2.0,,,,,,,,,,,,,
10.1128/aem.03011-05,103.0,140.0,105.0,,33.0,,1.0,,,,,,,,,,,,
10.1287/mnsc.1060.0542,210.0,126.0,101.0,,,,,,,,,,,,,,,,
10.1177/106591290605900206,109.0,162.0,110.0,,,7.0,,8.0,,,,,,,,,,,
10.1177/0361198106197800113,,,,,,,,,,,,,,,,,,,
10.1080/10635150600697358,299.0,236.0,204.0,,92.0,,,,,,,,,,,,,,
10.1080/1547402x.2006.11827248,1.0,,,,,,,,,,,,,,,,,,
10.1142/s100538670600006x,,,,,,,,,,,,,,,,,,,
10.1177/0146167206292691,78.0,66.0,43.0,,9.0,,,3.0,,,,,,,,,,,
10.1021/la061163p,65.0,70.0,61.0,,2.0,,,,,,,,,,,,,,
10.1509/jmkg.70.4.070,19.0,,52.0,1.0,,,,,,,,,,,,,,,
10.1021/jp0625309,24.0,98.0,95.0,,5.0,,,,,,,,,,,,,,
10.1289/ehp.9121,165.0,336.0,313.0,,70.0,18.0,,,1.0,,,,,,,,,,
10.1177/0255761406063108,38.0,15.0,6.0,,,,,,,,,,,,,,,,
10.56577/sm-2006.940,,,,,,,,,,,,,,,,,,,
10.1002/j.2325-8012.2006.tb00738.x,35.0,,4.0,,,3.0,,,,,,,,,,,,,
10.2202/1524-5861.1094,29.0,38.0,28.0,,,5.0,,,,,,17.0,505.0,,,,,,
10.1080/00222216.2006.11950070,35.0,30.0,28.0,,,,,,,,,,,,,,,,
10.1177/0160323x0603800303,7.0,,,,,,,,,,,,,,,,,,
10.1190/1.2217369,19.0,6.0,6.0,,,,,,6.0,,,3.0,,,,,,,
10.1079/wps2005103,28.0,30.0,10.0,,,,,,,,,,,,,,,,
10.4018/jebr.2006040105,20.0,3.0,4.0,,,,,,,,,22.0,1397.0,,,,,,
10.1161/01.str.0000196988.45318.97,50.0,21.0,25.0,,6.0,,,,,,,,,,,,,,
10.1117/12.687591,8.0,1.0,,,,,,,,,,,,,,,,,
10.1145/1162638.1162641,8.0,4.0,2.0,,,,,,,,,,,,,,,,
10.5465/amle.2006.23473202,22.0,6.0,5.0,,,,,,,,,,,,,,,,
10.1021/ed083p110,4.0,6.0,6.0,,,,,,,,,,,,,,,,
10.2118/101936-ms,8.0,7.0,4.0,,,1.0,,,,,,,,,,,,,
10.1161/circ.114.suppl_18.ii_92,,,,,,,,,,,,,,,,,,,
10.2135/cropsci2006.06.0413,14.0,,33.0,,,,,,,,,,,,,,,,
10.1096/fasebj.20.4.a501,1.0,,,,,,,,,,,,,,,,,,
10.1128/aem.72.1.963-967.2006,16.0,21.0,17.0,,5.0,,,,,,,,,,,,,,
10.1116/1.2178374,8.0,10.0,5.0,,,,,,,,,,,,,,,,
10.1063/1.2159413,3.0,,,,,,,,,,,,,,,,,,
10.1177/1094670506293563,583.0,222.0,158.0,3.0,,,,,,,,402.0,8148.0,,,,,,
10.1177/0146167206286709,101.0,64.0,48.0,,10.0,,,8.0,13.0,3.0,,53.0,76.0,2.0,,,,,
10.1021/la062676z,59.0,97.0,87.0,,4.0,,,,,,,,,,,,,,
10.1145/1142473.1142587,8.0,1.0,2.0,,,,,,,,,47.0,,,,,,,
10.1158/0008-5472.can-06-2333,59.0,118.0,96.0,,52.0,,,,,,,,,,,,,,
10.1145/3245473,,,,,,,,,,,,,,,,,,,
10.2310/6670.2006.00034,33.0,27.0,18.0,,7.0,,,,,,,,,,,,,,
10.1200/jco.2005.04.2838,77.0,154.0,133.0,,77.0,2.0,3.0,,,,,,,,,,,,
10.1029/2006gl027073,6.0,6.0,6.0,,,,,,,,,,,,,,,,
10.1177/0192513x05285614,22.0,9.0,6.0,,,,,,,,,,,,,,,,
10.1177/1094342006067471,2.0,2.0,,,,,,,,,,,,,,,,,
10.1094/fg-2006-0424-01-rs,,,4.0,,,,,,,,,,,,,,,,
10.1542/peds.2005-2633c,64.0,83.0,51.0,,36.0,,,,,,,,,,,,,,
10.1126/science.311.5764.1099,26.0,4.0,6.0,,3.0,,,,,,,,,,,,,,
10.1177/1090198105284879,34.0,15.0,16.0,,,,,,,,,,,,,,,,
10.1126/science.313.5787.614a,3.0,1.0,2.0,,,,,,,,,,,,,,,,
10.1061/(asce)0733-9399(2006)132:2(158),15.0,19.0,13.0,,,,,,,,,,,,,,,,
10.1287/mnsc.1060.0557,121.0,95.0,97.0,,,,,,,1.0,,14.0,,,,,,,
10.1200/jco.2004.01.0447,6.0,2.0,3.0,,,,,,,,,,,,,,,,
10.1096/fasebj.20.4.a235-c,,,,,,,,,,,,,,,,,,,
10.1158/0008-5472.can-06-1177,26.0,61.0,53.0,,37.0,,,,,,,,,1.0,,,,,
10.1242/dev.02427,167.0,186.0,188.0,,108.0,,,,,,,,,,,,,,
10.2308/jeta.2006.3.1.117,26.0,,15.0,,,1.0,,,,,,,,,,,,,
10.1080/00947679.2006.12062705,,,,,,,,,,,,,,,,,,,
10.2134/agronj2006.0141,11.0,10.0,8.0,,,,,,2.0,,,,,,,,,,
10.1175/jpo2866.1,13.0,14.0,14.0,,,1.0,,,,,,,,,,,,,
10.2190/ebah-hbml-ra6l-a6nn,42.0,17.0,16.0,,3.0,1.0,,,,,,18.0,,,,,,,
10.1190/1.2159055,11.0,17.0,12.0,,,,,,47.0,,,,,,,,,,
10.1080/08956308.2006.11657376,39.0,26.0,13.0,,,6.0,,,,,,58.0,,,,,,,
10.1029/2006gl027344,25.0,12.0,10.0,,,,,,,,,,,,,,,,
10.1177/0363546505285383,464.0,201.0,129.0,2.0,73.0,,,2.0,,,,,,,,,,,
10.1190/1.2192914,14.0,26.0,16.0,,,,,,8.0,,,,,,,,,,
10.1177/009155210603300301,6.0,4.0,2.0,,,,,,,,,,,,,,,,
10.2136/vzj2005.0049,14.0,4.0,4.0,,,,,,,,,,,,,,,,
10.3233/bd-2006-24109,24.0,13.0,11.0,,3.0,,,,,,,,,,,,,,
10.2118/9781613999615,62.0,,,,,,,,,,,,,,,,,,
10.1175/jhm489.1,16.0,9.0,9.0,,,,,,,,,,,,,,,,
10.1061/40802(189)49,,8.0,1.0,,,,,,,,,,,,,,,,
10.1128/mcb.26.6.2055-2064.2006,87.0,127.0,101.0,,76.0,,,,,,,,,,,,,,
10.1021/la061774h,64.0,75.0,73.0,,8.0,,,,,,,,,,,,,,
10.1073/pnas.0510473103,102.0,60.0,42.0,,8.0,2.0,,,,1.0,,,,,,,,,
10.1021/jp063871p,23.0,48.0,43.0,,,,,,,,,,,,,,,,
10.1021/jp0574403,26.0,59.0,59.0,,,,,,,,,,,,,,,,
10.1021/pr060302l,33.0,38.0,30.0,,17.0,,,,,,,,,,,,,,
10.1542/peds.2006-1119,59.0,63.0,57.0,,25.0,,,,,,,,,,,,,,
10.1021/cm062019s,112.0,253.0,221.0,,,,,,,,,,,,,,,,
10.1073/pnas.0509961103,139.0,118.0,104.0,,80.0,1.0,,,24.0,,,,,,,,,,
10.1089/fpd.2006.3.234,36.0,72.0,53.0,,15.0,1.0,,,,,,,,,,,,,
10.1111/j.1741-6248.2006.00072.x,219.0,154.0,115.0,,,1.0,,,,,2.0,1370.0,43.0,,,,,1.0,
10.1123/jsep.28.4.521,,,,,,,,,,,,,,,,,,,
10.1089/dna.2006.25.608,22.0,19.0,17.0,,3.0,,,,,,,,,,,,,,
10.1509/jmkg.70.2.001,16.0,,25.0,,,,,,,,,,,,,,,,
10.1123/jsep.28.3.407,,,,,,,,,,,,,,,,,,,
10.1200/jco.2006.07.0268,23.0,27.0,30.0,,8.0,2.0,,,,,,,,,,,,,
10.1161/01.res.0000229685.37402.80,124.0,297.0,260.0,,142.0,,,,,,,,,,,,,,
10.1021/ja063571l,57.0,108.0,94.0,,3.0,,,,,,,,,,,,,,
10.1109/pesc.2006.1712237,4.0,12.0,4.0,,,,,,,,,,,,,,,,
10.1021/mp060016h,14.0,43.0,40.0,,13.0,,,,,,,,,,,,,,
10.1123/jsep.28.2.214,1.0,,,,,,,,,,,,,,,,,,
10.1123/jsep.28.1.113,,,,,,,,,,,,,,,,,,,
10.1191/0960327106ht625oa,8.0,6.0,7.0,,1.0,,,,,,,,,,,,,,
10.1128/jb.00479-06,22.0,,,,,,,,,,,,,,,,,,
10.1063/1.2206410,18.0,18.0,16.0,,,,,,,,,,,,,,,,
10.3201/eid1208.051526,180.0,137.0,114.0,,36.0,12.0,,1.0,,,,,,,,,,,
10.1080/00029890.2006.11920347,,,,,,,,,,,,,,,,,,,
10.1190/1.2217728,31.0,11.0,8.0,,,,,,8.0,,,,,,,,,,
10.1021/ja0635433,71.0,104.0,93.0,,3.0,,,,,,,,,,,,,,
10.1021/bi060955f,64.0,58.0,49.0,,18.0,,,,,,,,,,,,,,
10.1061/(asce)1084-0702(2006)11:3(293),18.0,46.0,34.0,,,,,,,,,,,,,,,,
10.1177/1066480705285198,10.0,,,,,,,,,,,,,,,,,,
10.1542/peds.2006-0858,77.0,74.0,71.0,,19.0,12.0,,,8.0,14.0,,,,,2.0,,,,
10.1029/2006jg000162,317.0,309.0,231.0,,,2.0,,,,,,12.0,268.0,,,,,,
10.2135/cropsci2005.11.0422,8.0,5.0,4.0,,,1.0,,,,,,,,,,,,,
10.1177/003335490612100303,5.0,5.0,5.0,,3.0,4.0,,,,,,,,,,,,,
10.1080/15572536.2006.11832691,3.0,,13.0,,,,,,,,,,,,,,,,
10.2190/at0p-ngt8-2kwy-uy48,20.0,5.0,4.0,,3.0,,,,,,,,,,,,,,
10.1190/1.2194524,71.0,78.0,67.0,,,,,,79.0,,,57.0,2556.0,,,,,,
10.1177/104063870601800519,17.0,12.0,8.0,,1.0,,,,,,,,,,,,,,
10.1029/2005gl025401,31.0,4.0,4.0,,,,,,,,,,,3.0,,,,,
10.1177/1523422306292945,80.0,8.0,2.0,,,,,,,,,4.0,,,,,,,
10.1029/2005gc001188,21.0,12.0,9.0,,,,,,,,,,,,,,,,
10.1002/j.2325-8012.2006.tb00765.x,27.0,,3.0,,,,,,,,,,,,,,,,
10.1096/fasebj.20.5.a1469-b,2.0,,,,,,,,,,,,,,,,,,
10.1142/9789812773210_0050,4.0,,,,,,,,,,,,,,,,,,
10.1128/jcm.00561-06,111.0,213.0,179.0,,122.0,3.0,,,9.0,,,,,,,,,,
10.1063/1.2222302,12.0,18.0,16.0,,,,,,,,,,,,,,,,
10.2202/1548-923x.1243,31.0,3.0,1.0,,1.0,,,,,,,,,,,,,,
10.1161/01.atv.0000195793.73118.b4,31.0,47.0,50.0,,20.0,,,,,,,,,,,,,,
10.1073/pnas.0601161103,197.0,194.0,169.0,,146.0,,,2.0,,3.0,,,29.0,2.0,,,,,
10.1080/10789669.2006.10391179,15.0,31.0,29.0,,,,,,,,,,,,,,,,
10.1044/1058-0360(2006/017),194.0,186.0,128.0,3.0,23.0,1.0,,,,,,265.0,,,,,,,
10.1145/1141277.1141448,,,,,,,,,,,,,,,,,,,
10.1534/genetics.105.053371,37.0,73.0,67.0,,31.0,,,,,,,,,,,,,,
10.1345/aph.1h430,13.0,3.0,1.0,,1.0,,,,,,,,,,,,,,
10.1121/1.2234518,27.0,12.0,8.0,,1.0,,,,,,,,,,,,,,
10.1096/fasebj.20.4.a573-d,,,,,,,,,,,,,,,,,,,
10.1287/deca.1060.0069,36.0,,22.0,,,,,,,,,,,,,,,,
10.1021/cm0522230,25.0,38.0,34.0,,,,,,,,,,,,,,,,
10.1158/0008-5472.can-06-2496,107.0,357.0,306.0,,165.0,,,,,,,,,,,,,,
10.1191/0960327106ht604oa,13.0,11.0,7.0,,2.0,,,,,,,,,,,,,,
10.2135/cropsci2005.0078,25.0,69.0,63.0,,,,,,,,,,,,,,,,
10.1063/1.2425010,23.0,52.0,46.0,,,,,,,,,,,,,,,,
10.1200/jco.2005.05.5335,135.0,328.0,264.0,,133.0,2.0,1.0,,,,,,,,,,,,
10.1021/nl062464m,128.0,285.0,242.0,,35.0,13.0,,,,2.0,,,,,,,,,
10.1063/1.2166236,16.0,46.0,44.0,,6.0,,,,,,,,,,,,,,
10.1063/1.2357637,22.0,8.0,7.0,,,,,,,,,,,,,,,,
10.1098/rspb.2006.0038,91.0,49.0,32.0,,18.0,,,,,,,,,,,,,,
10.2307/25065651,2.0,,,,,,,,,,,,,,,,,,
10.2134/agronj2005.0166,31.0,55.0,51.0,,,1.0,,,,,,,,,,,,,
10.1029/2005tc001855,62.0,63.0,37.0,,,,,,,,,,,,,,,,
10.1289/ehp.8875,85.0,37.0,32.0,,7.0,1.0,,,,2.0,,,,,,,,,
10.1158/0008-5472.can-05-4397,60.0,126.0,107.0,,72.0,,,,,,,,,,,,,,
10.1061/(asce)0733-947x(2006)132:3(183),15.0,16.0,15.0,,,,,,,,,,,,,,,,
10.1119/1.2174053,115.0,63.0,50.0,,,,,,,,,90.0,734.0,,,,,,
10.1063/1.2204832,6.0,15.0,12.0,,,,,,,,,,,,,,,,
10.1021/ja0615775,25.0,81.0,67.0,,4.0,,,,,,,,,,,,,,
10.1061/(asce)0733-947x(2006)132:3(191),27.0,23.0,17.0,,,6.0,,,,,,,,,,,,,
10.1128/jb.188.1.141-149.2006,41.0,34.0,35.0,,14.0,,,,,,,,,,,,,,
10.2136/sssaj2005.0200,66.0,97.0,79.0,,,,,1.0,,,,,,,,,,,
10.1128/jb.00675-06,77.0,79.0,65.0,,37.0,,,,,,,,,,,,,,
10.1577/t05-202.1,57.0,41.0,33.0,,,1.0,,,,,,,,,,,,,
